base_score,481.9942859608008
age,Score
"(-inf, 36.0]",-4.08779328923584
"(36.0, 54.0]",-2.1689442639221337
"(54.0, 61.0]",1.9579657943343665
"(61.0, 74.0]",7.806915640018374
"(74.0, inf]",13.348733366827057
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.099]",47.6624962664444
"(0.099, 0.298]",14.531478048397481
"(0.298, 0.466]",-2.7044510223686173
"(0.466, 0.983]",-23.26627522623028
"(0.983, 1.0]",-10.080455801900026
"(1.0, inf]",-44.36969085581939
DebtRatio,Score
"(-inf, 0.0173]",33.091888354920734
"(0.0173, 0.402]",0.8071381327542014
"(0.402, 1.467]",-8.561047921536765
"(1.467, inf]",3.886093918446451
MonthlyIncome,Score
"(-inf, 0.1]",18.22692041967141
"(0.1, 6900.0]",-2.6161336822837566
"(6900.0, inf]",4.150702355476141
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-7.647561012773048
"(1.0, 3.0]",-2.9698858305170104
"(3.0, 5.0]",-0.5041246856483228
"(5.0, 17.0]",1.1197546998946337
"(17.0, inf]",4.197577786594556
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.582849680326157
"(0.0, 1.0]",-13.760314368850294
"(1.0, 2.0]",-21.80347150768909
"(2.0, inf]",-24.477656366893346
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8533418270642668
"(0.0, 1.0]",-28.730043282950117
"(1.0, 2.0]",-36.80816941337585
"(2.0, inf]",-39.164075812840224
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.720084465172299
"(0.0, 1.0]",5.219869338533446
"(1.0, 2.0]",16.893389113188384
"(2.0, 4.0]",10.850426446872811
"(4.0, inf]",-7.962539218018376
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",1.028924499085825
"(0.0, 1.0]",-11.436300944086618
"(1.0, 2.0]",-14.44859003576635
"(2.0, inf]",-15.016656716984167
NumberOfDependents,Score
"(-inf, 0.0]",14.613654862815732
"(0.0, 1.0]",-13.58681387381633
"(1.0, 2.0]",-12.311041010671474
"(2.0, inf]",-10.998889590565293
