Location,Climate
Canberra,Cool temperate   
Sydney,Warm temperate   
Perth,Warm temperate   
Darwin,"High humidity summer, warm winter"
Hobart,Cool temperate   
Brisbane,"Warm humid summer, mild winter"
Adelaide,Warm temperate   
Bendigo,Cool temperate   
Townsville,"High humidity summer, warm winter"
AliceSprings,"Hot dry summer, warm winter"
MountGambier,Mild temperate   
Launceston,Cool temperate   
Ballarat,Cool temperate   
Albany,Mild temperate   
Albury,"Hot dry summer, cool winter"
PerthAirport,Warm temperate   
MelbourneAirport,Mild temperate   
Mildura,"Hot dry summer, cool winter"
SydneyAirport,Warm temperate   
Nuriootpa,Warm temperate   
Sale,Mild temperate   
Watsonia,"Hot dry summer, cool winter"
Tuggeranong,Cool temperate   
Portland,Mild temperate   
Woomera,Warm temperate   
Cairns,"High humidity summer, warm winter"
Cobar,"Hot dry summer, cool winter"
Wollongong,Warm temperate   
GoldCoast,Cool temperate   
WaggaWagga,"Hot dry summer, cool winter"
NorfolkIsland,Warm temperate   
Penrith,Warm temperate   
SalmonGums,"Hot dry summer, cool winter"
Newcastle,Warm temperate   
CoffsHarbour,"Warm humid summer, mild winter"
Witchcliffe,Warm temperate   
Richmond,Mild temperate   
Dartmoor,Mild temperate   
NorahHead,Cool temperate   
BadgerysCreek,Warm temperate   
MountGinini,Cool temperate   
Moree,"Hot dry summer, warm winter"
Walpole,Mild temperate   
PearceRAAF,Warm temperate   
Williamtown,Warm temperate   
Melbourne,Mild temperate   
Nhil,Mild temperate   
Katherine,"High humidity summer, warm winter"
Uluru,"Hot dry summer, warm winter"
